Username,Password,C_Fname,C_Lname,T_Rpoint,Birthday
ra2020,123456,Ronnie,Anderson,101,1973-06-23
jb2020,123456,John,Brown,34,2003-07-19
ab2020,123456,Ann,Brook,256,2014-12-24
fh2020,123456,Frank,Hill,30,1989-04-11
ec2020,123456,Eugene,Clark,3451,1999-06-20
jf2020,123456,Jean,Foster,3578,1978-08-12
bm2020,123456,Blue,Mango,345,1989-04-12
sh2020,123456,Sun,Hoewei,30,1972-04-05
bj2020,123456,Billie,Jun,0,1967-07-12
nc2020,123456,Naomi,Chep,3489,1999-03-20
kw2020,123456,Kim,Woobin,3928,1958-05-25
sk2020,123456,Song,Ki,39201,1968-12-21
sl2020,123456,Sehun,Lee,0,2012-12-12
xm2020,123456,Xiu,Min,0,2004-12-28
nd2020,123456,Nicola,Dick,0,1923-01-01
jl2020,123456,John,Levermore,234,1949-03-12
ak2020,123456,Ariel,Keating,230,1923-01-01
