E_Fname,E_Lname,Employee ID,Password,Position
Jason,Zhang,100,123456,Wusuowei
Yuman,Xym,101,123456,Squatter
Pinyi,Wu,102,123456,Magician
Michael,Scott,103,123456,Associate
Pam,Beesly,104,123456,Manager
Jim,Halpert,105,123456,Manager
Erin,Hannon,106,123456,Receptionist
Dwight,Schrute,107,123456,Manager
Andy,Bernard,108,123456,Salesperson
Angela,Martin,109,123456,Accountant
Kevin,Malone,110,123456,Accountant
Ryan,Howard,111,123456,Intern
Toby,Flenderson,112,123456,HR
Gabe,Lewis,113,123456,Cashier
Meredith,Palmer,114,123456,Cashier
Stanley,Hudson,115,123456,Cashier
Darryl,Philbin,116,123456,StorageManager
Oscar,Martinez,117,123456,Cashier
Clark,Green,118,123456,Intern
Phyllis,Vance,119,123456,Entertainer
Jan,Levinson,120,123456,Secretary
